Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust
1,0.021,0.23,0.659,0.014,0.185,0.643,0.01,0.314,0.613,676.786,546.082,80.8609
2,0.0105,0.288,0.647,0.011,0.284,0.612,0.019,0.345,0.622,702.958,566.465,108.59
3,0.0215,0.371,0.646,0.024,0.317,0.648,0.022,0.22,0.656,684.468,554.412,99.0112
4,0.0155,0.325,0.669,0.018,0.207,0.639,0.0185,0.362,0.617,663.305,534.073,99.6631
5,0.0135,0.348,0.612,0.015,0.235,0.618,0.0235,0.274,0.648,676.027,546.44,100.73
6,0.013,0.244,0.642,0.019,0.377,0.658,0.0205,0.326,0.653,678.363,548.911,98.4132
7,0.02,0.197,0.667,0.0245,0.268,0.617,0.0245,0.192,0.62,706.545,571.239,162.817
8,0.022,0.22,0.614,0.012,0.171,0.634,0.0185,0.287,0.652,665.873,534.644,89.7935
9,0.0145,0.354,0.663,0.0135,0.245,0.665,0.017,0.232,0.609,664.268,535.557,99.7305
10,0.013,0.305,0.673,0.0215,0.252,0.652,0.0155,0.286,0.627,677.937,545.869,100.316
11,0.0155,0.226,0.652,0.0225,0.332,0.621,0.016,0.376,0.662,674.33,546.625,99.2495
12,0.019,0.309,0.623,0.0185,0.372,0.649,0.0105,0.27,0.604,693.421,556.192,92.8854
13,0.0115,0.292,0.63,0.015,0.19,0.664,0.021,0.253,0.663,688.288,550.717,106.641
14,0.017,0.172,0.67,0.0225,0.342,0.663,0.013,0.386,0.649,677.825,544.291,87.7326
15,0.017,0.334,0.639,0.011,0.269,0.627,0.016,0.208,0.653,682.595,547.483,95.3941
16,0.011,0.342,0.641,0.022,0.173,0.632,0.011,0.303,0.634,675.271,544.292,79.7887
17,0.0225,0.317,0.651,0.0125,0.202,0.667,0.0155,0.178,0.644,677.496,547.451,108.056
18,0.0105,0.351,0.677,0.013,0.186,0.645,0.0135,0.377,0.62,662.07,530.877,83.3279
19,0.01,0.248,0.633,0.0245,0.301,0.631,0.016,0.185,0.638,696.444,565.609,105.04
20,0.0245,0.325,0.641,0.0115,0.376,0.642,0.02,0.185,0.663,669.333,539.29,91.7354
21,0.0155,0.372,0.667,0.017,0.267,0.633,0.0235,0.333,0.624,687.76,557.857,111.284
22,0.0145,0.256,0.653,0.0155,0.226,0.612,0.013,0.217,0.671,662.595,531.315,99.9359
23,0.017,0.277,0.661,0.022,0.193,0.657,0.012,0.204,0.604,666.805,535.403,120.622
24,0.011,0.199,0.644,0.0165,0.311,0.664,0.0225,0.361,0.659,672.707,543.496,91.4999
25,0.0165,0.222,0.637,0.0205,0.346,0.645,0.0205,0.26,0.628,688.161,557.589,117.602
26,0.0175,0.277,0.633,0.01,0.17,0.678,0.0155,0.362,0.619,679.452,552.307,103.024
27,0.0145,0.382,0.634,0.023,0.204,0.62,0.011,0.237,0.66,656.152,524.818,90.0989
28,0.0125,0.254,0.675,0.0155,0.363,0.619,0.0175,0.339,0.652,656.457,525.299,104.274
29,0.0145,0.168,0.605,0.021,0.329,0.64,0.0235,0.25,0.621,672.916,538.548,107.303
30,0.018,0.273,0.612,0.0155,0.295,0.673,0.021,0.375,0.661,703.396,565.275,133.723
31,0.0155,0.26,0.624,0.011,0.381,0.664,0.0115,0.379,0.613,667.977,537.455,88.7102
32,0.021,0.204,0.616,0.0125,0.328,0.65,0.015,0.384,0.63,656.829,525.292,78.8444
33,0.0135,0.321,0.668,0.0135,0.339,0.623,0.0205,0.204,0.669,667.773,537.608,102.459
34,0.023,0.308,0.657,0.016,0.331,0.613,0.011,0.208,0.617,677.223,546.608,116.316
35,0.01,0.215,0.672,0.02,0.307,0.665,0.019,0.217,0.613,669.169,538.266,112.497
36,0.0205,0.246,0.655,0.0205,0.285,0.62,0.0235,0.177,0.658,697.706,559.909,131.176
37,0.0225,0.176,0.626,0.0165,0.376,0.637,0.0185,0.334,0.639,659.946,526.455,86.9077
38,0.018,0.29,0.659,0.012,0.38,0.674,0.0215,0.252,0.627,677.099,543.97,105.494
39,0.024,0.336,0.626,0.0135,0.174,0.664,0.013,0.296,0.659,668.24,538.505,97.274
40,0.019,0.344,0.654,0.0235,0.264,0.644,0.015,0.2,0.64,684.622,555.673,116.659
41,0.019,0.294,0.617,0.017,0.223,0.627,0.0235,0.344,0.66,694.089,561.307,120.32
42,0.017,0.263,0.615,0.021,0.231,0.655,0.0165,0.331,0.669,683.289,553.139,122.907
43,0.023,0.352,0.633,0.014,0.309,0.676,0.01,0.233,0.674,667.874,537.74,98.9198
44,0.014,0.305,0.607,0.012,0.2,0.61,0.014,0.347,0.612,664.243,532.625,74.7527
45,0.0245,0.278,0.649,0.0235,0.227,0.62,0.014,0.299,0.608,682.871,550.727,113.706
46,0.012,0.185,0.619,0.0175,0.284,0.668,0.021,0.244,0.649,671.14,540.185,90.1018
47,0.0185,0.2,0.656,0.014,0.345,0.627,0.0185,0.267,0.664,666.829,535.482,102.533
48,0.0135,0.381,0.643,0.0105,0.257,0.678,0.0115,0.174,0.673,663.47,532.183,80.6904
49,0.0235,0.224,0.624,0.0195,0.316,0.632,0.0235,0.369,0.633,666.286,534.099,105.075
50,0.015,0.211,0.667,0.011,0.337,0.609,0.0125,0.264,0.61,676.97,547.17,93.1208
51,0.019,0.321,0.645,0.02,0.178,0.658,0.019,0.349,0.611,654.864,523.181,105.172
52,0.017,0.373,0.618,0.02,0.332,0.659,0.014,0.275,0.639,667.412,537.802,96.77
53,0.02,0.216,0.65,0.0135,0.273,0.613,0.021,0.33,0.667,686.198,554.451,114.988
54,0.014,0.184,0.61,0.014,0.179,0.661,0.0105,0.363,0.675,659.755,527.951,89.6427
55,0.0196,0.2184,0.6625,0.0238,0.2755,0.6196,0.0237,0.19,0.6271,713.009,575.436,150.175
56,0.0183,0.2326,0.6565,0.0244,0.2847,0.6228,0.0223,0.2015,0.6274,708.651,571.595,139.094
57,0.0201,0.2396,0.6633,0.0232,0.2701,0.6191,0.0244,0.2095,0.6279,707.496,572.313,135.123
58,0.021,0.2259,0.663,0.0244,0.2775,0.6231,0.0229,0.1772,0.6289,704.548,566.856,125.97
59,0.0182,0.2179,0.6617,0.0229,0.2748,0.6165,0.0243,0.1898,0.6271,710.807,573.944,142.521
60,0.0191,0.1971,0.6628,0.0234,0.2773,0.6195,0.0235,0.2251,0.6281,721.501,580.993,161.842
61,0.0191,0.1908,0.6599,0.024,0.2758,0.6192,0.0241,0.2281,0.6343,727.583,580.672,181.805
62,0.0195,0.1922,0.6597,0.0233,0.2718,0.6148,0.0229,0.2267,0.6317,735.832,588.994,179.804
63,0.0198,0.1891,0.6574,0.0228,0.2678,0.6128,0.0221,0.2252,0.6324,714.851,578.109,156.378
64,0.0186,0.2001,0.6688,0.0239,0.277,0.6139,0.0223,0.2346,0.6368,729.908,587.921,182.684
65,0.019,0.2015,0.6668,0.0236,0.2927,0.6136,0.0226,0.2491,0.6341,712.972,576.361,155.736
66,0.0181,0.1855,0.6673,0.0242,0.2583,0.6142,0.0223,0.2159,0.6377,696.049,558.56,152.244
67,0.0196,0.2091,0.6564,0.0225,0.2919,0.6125,0.024,0.2467,0.6305,724.845,581.699,172.334
68,0.0206,0.2073,0.6577,0.025,0.2918,0.615,0.0229,0.245,0.6323,727.792,585.336,168.33
69,0.0204,0.192,0.66,0.0237,0.3103,0.6137,0.0233,0.2273,0.6309,680.284,550.549,116.239
70,0.0193,0.2212,0.6583,0.0236,0.2385,0.6139,0.0233,0.2832,0.6338,683.271,550.35,132.513
71,0.0191,0.2078,0.6617,0.0229,0.2831,0.6219,0.0218,0.2373,0.6306,730.4,584.537,167.589
72,0.019,0.2088,0.6621,0.024,0.2808,0.6149,0.0221,0.2344,0.6275,744.37,594.539,194.163
73,0.0189,0.2058,0.6607,0.0244,0.2822,0.6144,0.0222,0.236,0.6299,739.71,592.793,194.822
74,0.0194,0.2048,0.663,0.0241,0.2798,0.6141,0.0223,0.2345,0.631,738.71,590.233,192.554
75,0.0187,0.2048,0.6593,0.0238,0.2826,0.6139,0.0225,0.2376,0.6311,738.521,591.025,193.256
76,0.0194,0.2039,0.6583,0.0244,0.2819,0.6153,0.0224,0.2346,0.6272,735.296,589.56,194.456
77,0.0186,0.2098,0.6647,0.0236,0.2783,0.6136,0.0222,0.233,0.6287,752.66,598.184,204.21
78,0.0184,0.2164,0.6675,0.0238,0.2773,0.6138,0.022,0.2317,0.628,750.256,592.366,200.112
79,0.0186,0.2086,0.6638,0.0228,0.2768,0.6128,0.0221,0.2325,0.6284,749.999,591.014,201.203
80,0.0183,0.2103,0.6648,0.0242,0.2806,0.6142,0.0229,0.2336,0.6284,739.023,589.025,200.001
81,0.0186,0.2113,0.6648,0.0241,0.279,0.6141,0.021,0.2348,0.6304,739.026,589.896,201.022
82,0.0193,0.2142,0.6663,0.0239,0.2722,0.6139,0.0219,0.2257,0.6247,749.666,597.93,210.443
83,0.0194,0.2132,0.6676,0.0238,0.2742,0.6138,0.0219,0.2283,0.627,749.356,596.658,211.023
84,0.0193,0.2191,0.6654,0.0237,0.2763,0.6137,0.0218,0.2298,0.6236,757.205,601.399,211.894
85,0.0191,0.2077,0.6661,0.0241,0.2708,0.6141,0.0219,0.2245,0.6265,756.985,599.002,209.998
86,0.0192,0.2233,0.6647,0.024,0.2693,0.614,0.0216,0.2224,0.622,759.23,598.004,212.564
87,0.0195,0.2204,0.6654,0.0247,0.2763,0.6147,0.0216,0.2287,0.623,761.905,597.775,212.677
88,0.0194,0.2141,0.6634,0.0237,0.2736,0.6137,0.0215,0.2273,0.6226,758.954,598.34,210.675
89,0.0191,0.2181,0.6645,0.0239,0.2742,0.6139,0.0223,0.2267,0.6219,760.937,596.934,210.113
90,0.0194,0.23,0.6655,0.0237,0.2759,0.6137,0.0215,0.2168,0.6247,757.916,595.394,209.453
91,0.0193,0.2192,0.6658,0.0237,0.2728,0.6174,0.0214,0.226,0.6237,757.751,594.453,210.674
92,0.0201,0.22,0.6656,0.0238,0.272,0.6138,0.0219,0.2251,0.6219,758.162,596.231,209.971
93,0.0194,0.2273,0.6643,0.0236,0.2808,0.6136,0.0214,0.2346,0.6221,761.002,597.738,211.237
94,0.0192,0.2168,0.6683,0.0237,0.2752,0.6137,0.0212,0.2287,0.6204,756.932,594.875,208.427
95,0.0193,0.2249,0.666,0.0229,0.273,0.6129,0.0218,0.2274,0.6229,756.934,596.723,209.1735
96,0.0196,0.2187,0.6651,0.0238,0.2759,0.6138,0.021,0.2303,0.6241,756.092,594.562,209.994
97,0.0194,0.2305,0.6666,0.0242,0.2767,0.6142,0.0221,0.2292,0.6232,759.312,598.295,209.921
98,0.0195,0.2335,0.6621,0.0241,0.2766,0.6141,0.0219,0.2289,0.6189,758.203,596.932,209.998
99,0.0193,0.2237,0.6644,0.0238,0.2821,0.6138,0.0219,0.222,0.6213,759.992,598.903,210.747
100,0.0188,0.2251,0.6636,0.024,0.2783,0.614,0.0217,0.2311,0.6215,756.988,596.934,209.764
